57,32,5,79,80,75,6,121,35,96,1
121,95,129,34,97,21,138,86,62,1,0
5,8,51,29,75,30,57,88,67,40,0
53,129,17,30,8,99,6,102,67,62,1
69,121,71,114,17,16,41,20,40,15,1
64,129,20,41,106,1,14,27,57,123,0
120,47,104,81,5,15,14,30,111,36,0
88,57,68,93,48,119,97,12,101,86,0
15,7,62,71,46,100,97,87,54,119,1
63,26,11,22,93,57,6,75,114,14,0
94,37,64,68,4,48,104,1,19,18,1
41,74,60,51,21,25,88,2,67,58,0
2,39,67,3,36,57,44,9,119,86,1
40,10,104,88,54,26,12,49,76,5,0
101,86,39,21,74,42,10,111,35,27,1
121,67,34,40,129,48,109,49,53,22,1
71,6,73,84,2,8,16,27,54,22,1
102,1,22,76,30,67,27,112,36,28,1
99,14,27,76,41,74,1,112,86,7,0
8,14,37,30,123,40,77,27,86,59,0
57,50,105,47,56,101,99,138,69,67,1
28,102,88,54,3,8,53,39,26,14,1
65,26,54,84,13,2,30,14,22,93,1
104,8,47,13,27,14,44,22,98,26,0
8,54,94,37,14,39,44,69,27,88,1
1,21,113,129,50,112,99,35,30,88,1
74,86,17,1,30,9,102,43,22,12,0
21,26,114,71,54,106,88,18,86,81,0
1,84,2,4,14,27,98,93,23,86,1
107,25,108,11,105,90,66,34,128,103,0
84,71,75,126,67,54,59,41,26,7,1
41,14,55,19,123,77,36,106,64,74,0
82,97,1,84,121,44,76,53,28,26,1
64,50,70,28,30,6,27,86,52,14,0
35,96,87,72,75,97,40,74,42,119,1
63,49,64,119,75,50,61,44,2,21,0
17,51,123,22,48,71,84,5,28,57,1
129,64,1,71,35,5,22,95,97,47,0
74,80,67,44,2,40,113,25,105,53,1
102,93,84,21,110,71,53,94,83,39,0
76,62,33,102,121,123,40,94,35,104,0
44,68,11,16,14,73,138,105,53,29,0
107,6,22,14,53,40,18,35,67,37,0
126,44,87,114,83,26,47,6,90,63,0
67,16,137,71,37,64,105,8,56,55,1
84,62,76,31,2,21,53,63,44,32,0
105,84,52,93,16,76,41,2,54,5,0
76,18,14,20,74,13,138,102,77,11,0
85,81,27,26,88,126,94,28,72,109,0
49,93,64,45,13,17,97,22,52,68,0
105,85,95,30,42,35,14,23,44,104,0
98,101,64,121,26,70,129,14,35,5,1
54,28,30,36,74,21,12,14,7,71,0
101,75,104,93,13,35,49,84,106,71,0
123,42,63,71,30,74,53,12,19,95,1
48,47,37,126,53,20,35,98,31,1,0
121,64,82,45,70,14,86,12,53,123,1
129,51,70,50,57,67,102,26,21,104,0
19,52,30,53,41,27,129,20,48,3,1
109,86,74,42,18,20,69,48,7,49,1
71,104,9,67,11,74,76,86,114,2,1
2,85,53,93,14,44,59,35,9,84,0
121,35,18,57,5,54,123,30,7,6,0
49,86,35,27,8,5,11,74,47,104,0
40,102,46,48,27,93,49,129,30,50,1
52,44,26,109,74,76,62,71,87,94,0
101,68,104,47,35,36,14,13,44,28,0
60,37,35,71,54,101,14,8,129,113,1
40,47,14,57,112,71,88,67,30,74,0
1,44,26,4,121,102,18,14,6,36,1
20,71,137,56,128,16,78,82,8,106,0
20,110,28,7,35,64,15,93,96,5,1
99,62,35,75,27,32,95,31,70,14,0
45,63,26,86,49,1,100,41,64,78,0
53,62,1,13,9,64,29,106,136,48,1
6,76,86,98,22,69,59,40,72,41,1
40,86,102,4,26,73,105,120,5,129,0
75,14,54,19,47,95,36,45,8,97,1
49,35,101,30,135,80,44,74,123,11,1
8,27,85,64,13,37,6,106,71,32,0
13,35,128,135,34,97,54,27,64,17,0
13,9,135,54,49,20,41,119,47,137,0
98,14,35,25,109,26,60,84,43,44,1
69,20,12,87,74,72,121,86,62,104,1
14,33,8,74,71,84,105,10,35,72,0
33,71,11,62,95,1,36,123,81,113,1
17,46,68,47,86,69,109,79,35,64,1
93,138,23,30,14,68,17,18,85,2,0
2,128,39,44,30,5,1,45,14,13,1
29,128,46,4,106,31,86,137,10,60,0
81,8,106,9,1,35,19,70,7,36,0
88,35,128,87,56,48,120,23,137,58,0
102,31,29,34,83,25,39,99,75,3,1
7,95,73,53,105,25,50,18,27,96,0
56,126,84,54,7,36,13,71,48,14,0
129,71,86,19,35,84,53,109,87,106,1
25,3,35,99,21,47,16,29,8,36,1
14,53,3,30,41,93,129,64,86,16,0
14,11,55,22,104,5,8,32,56,85,1
41,95,22,108,84,11,123,62,12,57,1
6,27,138,98,93,7,5,74,44,15,0
74,119,128,73,67,11,84,104,94,21,1
94,86,2,18,34,67,135,82,20,59,0
49,88,109,15,27,20,72,97,22,50,0
47,69,112,15,114,39,75,30,53,94,1
84,47,126,14,62,8,40,5,96,35,1
104,102,129,110,105,99,63,21,138,22,1
95,87,28,27,35,14,49,81,23,31,1
77,44,26,46,121,51,70,99,23,86,1
98,86,20,95,49,74,41,52,75,104,0
14,84,47,8,43,39,62,73,76,128,0
75,48,97,14,37,62,123,74,114,84,0
107,2,86,8,95,126,93,55,137,50,0
36,49,114,14,22,69,62,42,51,46,1
70,75,84,21,129,6,27,42,47,86,1
14,37,93,13,53,67,97,23,2,30,0
50,11,8,121,60,30,14,73,15,67,0
14,35,5,69,72,79,26,42,54,16,0
101,19,85,30,94,71,47,54,84,75,1
121,44,57,2,119,101,48,88,28,71,0
105,93,63,79,19,56,88,68,6,99,0
44,81,107,25,47,26,14,128,50,13,1
18,104,21,71,86,47,100,14,5,48,1
47,129,95,64,73,119,98,13,69,8,1
110,16,102,95,113,85,30,94,106,31,0
63,16,35,14,114,53,18,104,113,54,0
113,71,101,42,1,74,120,93,22,23,0
76,123,75,81,29,14,67,25,39,105,0
7,5,114,57,126,97,23,45,93,86,0
98,114,20,74,112,6,25,129,14,30,0
19,75,15,109,86,11,23,35,39,111,0
21,93,97,30,44,18,71,7,2,106,1
84,55,138,44,92,41,35,99,27,112,1
17,121,97,27,44,39,43,135,86,79,1
48,64,16,101,70,81,40,53,9,102,0
35,49,20,6,37,8,22,44,30,5,1
42,35,21,12,3,102,88,11,68,32,1
101,63,84,76,26,14,7,1,100,3,1
36,1,25,20,96,14,75,44,97,106,1
102,96,31,22,43,5,88,104,6,50,1
74,97,10,136,91,20,16,41,5,71,0
21,57,56,66,123,47,6,84,23,50,0
31,128,106,96,93,35,14,8,100,2,0
84,104,93,5,50,22,30,14,61,4,1
105,39,43,30,54,102,129,48,31,7,1
37,102,35,71,13,50,14,53,10,137,0
4,75,2,26,86,108,106,114,74,57,0
22,62,28,34,40,13,2,95,121,97,1
71,26,25,99,104,137,119,14,19,22,1
96,52,37,28,94,6,104,31,126,102,1
136,69,11,104,35,71,84,95,2,74,0
86,17,114,96,26,36,129,123,44,5,1
11,41,16,62,128,114,27,18,25,120,1
104,70,85,76,20,5,35,18,14,87,0
60,65,25,72,123,82,41,15,101,47,1
104,16,44,84,64,40,27,112,99,22,1
80,72,27,47,9,13,10,112,53,49,1
84,6,99,1,41,21,114,31,67,27,0
6,36,53,28,71,21,15,65,14,67,1
67,2,9,45,51,26,49,21,93,75,0
80,138,37,10,51,73,64,17,16,104,1
8,60,64,84,17,41,5,14,123,21,1
138,41,14,50,97,11,105,62,15,26,0
75,74,41,21,129,105,35,67,64,59,0
67,104,25,79,21,102,53,7,114,35,0
23,56,135,84,70,46,64,2,74,5,1
93,20,96,97,62,53,99,14,114,76,1
40,5,44,106,36,63,1,37,27,72,0
8,39,45,49,35,22,17,7,62,129,0
6,46,26,21,81,14,47,22,8,20,1
54,121,69,39,6,28,64,35,113,91,1
14,96,45,136,94,91,129,102,59,34,0
94,21,11,56,14,119,64,54,114,120,0
77,26,89,76,16,47,8,12,25,2,0
47,86,44,40,75,15,104,71,35,36,1
70,53,129,5,11,114,39,26,14,93,0
57,90,93,41,137,30,62,59,15,44,0
113,48,121,41,37,88,25,93,20,47,1
